Signal Legend:

Key        Signal Name

0        = DAT_DAC
1        = SW
2        = Filter:inst|subFilter:u_subFilter_1_re|dout_1_re_1[0..7]
3        = Filter:inst|subFilter:u_subFilter_1_re|foutDly[9..16]

Data Table:

Signals-> 0    1    2   3   

sample

770       1312 00Fh -46 206 
771       1312 00Fh -50 202 
772       1184 00Fh -54 199 
773       1184 00Fh -57 196 
774       1104 00Fh -60 194 
775       1056 00Fh -62 193 
776       1056 00Fh -63 192 
777       1024 00Fh -64 127 
778       1024 00Fh -65 127 
779       1008 00Fh -65 192 
780       1024 00Fh -64 193 
781       1024 00Fh -63 195 
782       1072 00Fh -61 197 
783       1072 00Fh -59 199 
784       1136 00Fh -57 203 
785       1200 00Fh -53 206 
786       1200 00Fh -50 210 
787       1312 00Fh -46 215 
788       1312 00Fh -41 219 
789       1456 00Fh -37 224 
790       1536 00Fh -32 230 
791       1536 00Fh -26 235 
792       1712 00Fh -21 241 
793       1712 00Fh -15 247 
794       1904 00Fh -9  253 
795       2000 00Fh -3  2   
796       2000 00Fh 2   8   
797       2176 00Fh 8   14  
798       2176 00Fh 14  20  
799       2368 00Fh 20  25  
800       2448 00Fh 25  31  
801       2448 00Fh 31  36  
802       2624 00Fh 36  40  
803       2624 00Fh 40  45  
804       2752 00Fh 45  49  
805       2832 00Fh 49  52  
806       2832 00Fh 52  56  
807       2944 00Fh 56  58  
808       2944 00Fh 58  60  
809       3008 00Fh 60  62  
810       3040 00Fh 62  63  
811       3040 00Fh 63  128 
812       3072 00Fh 64  128 
813       3072 00Fh 64  63  
814       3040 00Fh 63  62  
815       3040 00Fh 62  61  
816       3040 00Fh 61  59  
817       2992 00Fh 59  56  
818       2992 00Fh 56  53  
819       2880 00Fh 53  49  
820       2832 00Fh 49  45  
821       2832 00Fh 45  41  
822       2704 00Fh 41  36  
823       2704 00Fh 36  31  
824       2528 00Fh 31  26  
825       2464 00Fh 26  21  
826       2464 00Fh 21  15  
827       2288 00Fh 15  9   
828       2288 00Fh 9   3   
829       2096 00Fh 3   253 
830       2000 00Fh -3  248 
831       2000 00Fh -8  242 
832       1824 00Fh -14 236 
833       1824 00Fh -20 230 
834       1632 00Fh -26 225 
835       1552 00Fh -31 220 
836       1552 00Fh -36 215 
837       1392 00Fh -41 211 
838       1392 00Fh -45 207 
839       1264 00Fh -49 203 
840       1200 00Fh -53 200 
841       1200 00Fh -56 197 
842       1104 00Fh -59 195 
843       1104 00Fh -61 193 
844       1040 00Fh -63 192 
845       1024 00Fh -64 192 
846       1024 00Fh -64 127 
847       1008 00Fh -65 192 
848       1008 00Fh -64 193 
849       1024 00Fh -63 194 
850       1056 00Fh -62 196 
851       1056 00Fh -60 199 
852       1136 00Fh -57 202 
853       1136 00Fh -54 205 
854       1216 00Fh -51 209 
855       1296 00Fh -47 213 
856       1296 00Fh -43 218 
857       1440 00Fh -38 223 
858       1440 00Fh -33 228 
859       1616 00Fh -28 233 
860       1680 00Fh -23 239 
861       1680 00Fh -17 245 
862       1872 00Fh -11 251 
863       1872 00Fh -5  1   
864       2064 00Fh 1   7   
865       2160 00Fh 7   13  
866       2160 00Fh 13  18  
867       2336 00Fh 18  24  
868       2336 00Fh 24  29  
869       2496 00Fh 29  34  
870       2592 00Fh 34  39  
871       2592 00Fh 39  44  
872       2752 00Fh 44  48  
873       2752 00Fh 48  52  
874       2880 00Fh 52  55  
875       2928 00Fh 55  58  
876       2928 00Fh 58  60  
877       3008 00Fh 60  62  
878       3008 00Fh 62  63  
879       3040 00Fh 63  63  
880       3056 00Fh 63  128 
881       3056 00Fh 64  63  
882       3056 00Fh 63  62  
883       3056 00Fh 62  61  
884       3008 00Fh 61  59  
885       2992 00Fh 59  57  
886       2992 00Fh 57  54  
887       2912 00Fh 54  50  
888       2912 00Fh 50  46  
889       2784 00Fh 46  42  
890       2720 00Fh 42  38  
891       2720 00Fh 38  33  
892       2576 00Fh 33  27  
893       2576 00Fh 27  22  
894       2416 00Fh 22  16  
895       2304 00Fh 16  11  
